,id,name,address,symbol,chain,logo,audits,gecko_id,category,chains,module,twitter,forkedFrom,oracles,slug,tvl,chainTvls,change_1h,change_1d,change_7d
2086,2791,TrainSwap,arbitrum:0x52DA160e9a8CeF972FF0A797D4902eD67589f64C,TRAIN,Arbitrum,https://icons.llama.fi/trainswap.png,0,,Dexes,['Arbitrum'],trainswap/index.js,trainswap0,['Uniswap V2'],[],trainswap,0.0,"{'Arbitrum-staking': 0.0, 'Arbitrum': 0.0, 'staking': 0.0}",-0.0924091307892212,-2.180160519410677,2.642011239675199
2087,1605,Stake1,fantom:0xe7Aa6c0b7D347914844dE3aA90E0209BC39DB0ee,STAKE1,Fantom,https://icons.llama.fi/stake1.png,0,,Lending,['Fantom'],stake1/index.js,Stake1One,[],['Chainlink'],stake1,0.0,"{'pool2': 0.0, 'Fantom-pool2': 0.0, 'Fantom': 0.0}",-0.18944891332665748,-3.1677959787649,0.30771016698865594
2088,664,OakFarm,okex:0xc8644956a0c9334a82f26f5773f5dc090d095d2a,OKF,OKExChain,https://icons.llama.fi/oakfarm.png,2,,Yield,['OKExChain'],oakfarm.js,OakFarm_io,,,oakfarm,0.0,"{'OKExChain': 0.0, 'pool2': 0.0, 'OKExChain-pool2': 0.0}",0.03219942366744988,-1.3836079819223102,7.69782571700803
2089,2107,MoonLift,bsc:0x9d7c580e0bc4ea441db96eebc7e1440d264bce51,MLTPX,Binance,https://icons.llama.fi/moonlift.jpg,0,moonlift,Dexes,['Binance'],moonlift/index.js,MoonliftCapital,['Uniswap V2'],[],moonlift,0.0,{'Binance': 0.0},-0.04971871278668516,-3.4023383315967948,-7.522101136594543
2090,1560,ClaySwap,bsc:0xfd54aE2369a3Be69d441cAcC49F920fFEc9068Ac,CLAY,Binance,https://icons.llama.fi/clayswap.png,0,,Farm,['Binance'],clayswap/index.js,ClaySwapFinance,[],[],clayswap,0.0,"{'Binance': 0.0, 'Binance-staking': 0.0, 'pool2': 0.0, 'Binance-pool2': 0.0, 'staking': 0.0}",-0.016110491605047628,-1.9122539213231846,0.9229011489341161
2091,638,Meso Finance,fantom:0x4D9361A86D038C8adA3db2457608e2275B3E08d4,fMESO,Fantom,https://icons.llama.fi/meso-finance.png,2,,Yield,['Fantom'],mesofinance/index.js,mesofinance,,,meso-finance,0.0,"{'pool2': 0.0, 'Fantom-staking': 0.0, 'Fantom-pool2': 0.0, 'staking': 0.0, 'Fantom': 0.0}",-0.1148504503762382,-1.6130783389245238,-2.5260377370393314
2092,1810,Zinax DAO,bsc:0xFf3Aa0D4874C3BD5AdcBB94254005ff19f798AcB,ZINAX,Binance,https://icons.llama.fi/zinax-dao.png,0,,Farm,['Binance'],zinaxdao/index.js,zinaxtoken,[],[],zinax-dao,0.0,"{'Binance': 0.0, 'Binance-staking': 0.0, 'pool2': 0.0, 'Binance-pool2': 0.0, 'staking': 0.0}",-0.0831345253089637,-2.1175374163945264,1.3643754804591737
2093,857,AliensFarm,tezos:KT19DUSZw7mfeEATrbWVPHRrWNVbNnmfFAE6,PAUL,Tezos,https://icons.llama.fi/aliensfarm.png,0,paul-token,Dexes,['Tezos'],aliensfarm/index.js,tezaliensfarm,['QuipuSwap'],,aliensfarm,0.0,{'Tezos': 0.0},-0.038640523185051734,929893949919.9406,963074878569.7683
2094,1122,GrassLand Finance,polygon:0x54c6960fbb3e6572377980277057cf08ccad646b,WILD,Polygon,https://icons.llama.fi/grassland-finance.png,2,,Yield,['Polygon'],grassland-finance/index.js,GrassLandFi,,,grassland-finance,0.0,"{'Polygon': 0.0, 'pool2': 0.0, 'Polygon-pool2': 0.0, 'Polygon-staking': 0.0, 'staking': 0.0}",-0.13953558600003646,-2.7725959826926214,1.8907481588247066
2095,2951,OctoLSD,,-,Ethereum,https://icons.llama.fi/octolsd.jpg,2,,Yield,['Ethereum'],octolsd/index.js,OctoLSD,[],[],octolsd,0.0,"{'Ethereum': 0.0, 'pool2': 0.0, 'Ethereum-pool2': 0.0}",-0.11265977861252452,-2.344734642774,14.905919913031056
