,id,name,symbol,chain,chains,slug,tvl,chainTvls
456,2264,Orderly Network,-,Near,['Near'],orderly-network,6.59,{'Near': 6.59}
457,2172,Kleva Farm,KLEVA,Klaytn,['Klaytn'],kleva-farm,6.58,{'Klaytn': 6.58}
458,2667,Arrakis V2,-,Multi-Chain,"['Ethereum', 'Arbitrum', 'Optimism', 'Polygon']",arrakis-v2,6.57,"{'Optimism': 1.38, 'Ethereum': 3.09, 'Polygon': 0.41, 'Arbitrum': 1.68}"
459,2803,Native,-,Multi-Chain,"['Binance', 'Ethereum']",native,6.55,"{'Binance': 3.47, 'Ethereum': 3.09}"
460,1987,Pangea Swap,STONE,Klaytn,['Klaytn'],pangea-swap,6.53,{'Klaytn': 6.53}
461,864,Wrapped BNB,-,Binance,['Binance'],wrapped-bnb,6.48,{'Binance': 6.48}
462,2382,Tender Finance,TND,Arbitrum,['Arbitrum'],tender-finance,6.48,"{'Arbitrum-borrowed': 6.52, 'Arbitrum': 6.48, 'borrowed': 6.52}"
463,2658,Alpaca Perpetual Futures Exchange,ALPACA,Binance,['Binance'],alpaca-perpetual-futures-exchange,6.47,{'Binance': 6.47}
464,199,Sablier Finance,-,Multi-Chain,"['Ethereum', 'Arbitrum', 'Polygon', 'Optimism', 'Avalanche', 'Binance', 'Ronin']",sablier-finance,6.4,"{'Optimism': 0.02, 'Polygon-vesting': 0.08, 'Ethereum-vesting': 126.23, 'Avalanche-vesting': 0.0, 'Binance': 0.01, 'Ethereum': 5.71, 'vesting': 126.32, 'Avalanche': 0.02, 'Polygon': 0.23, 'Arbitrum-vesting': 0.01, 'Ronin': 0.01, 'Arbitrum': 0.39, 'Optimism-vesting': 0.0, 'Binance-vesting': 0.0}"
465,338,Inverse Finance Frontier,INV,Ethereum,['Ethereum'],inverse-finance-frontier,6.4,{'Ethereum': 6.4}
466,1274,StellaSwap,STELLA,Moonbeam,['Moonbeam'],stellaswap,6.38,"{'Moonbeam-staking': 0.44, 'staking': 0.44, 'Moonbeam': 6.38}"
467,642,Bumper Finance,BUMP,Ethereum,['Ethereum'],bumper-finance,6.37,{'Ethereum': 6.37}
468,2561,NerveBridge,-,Multi-Chain,"['Nuls', 'Ethereum', 'Binance', 'ENULS', 'Polygon', 'OKExChain', 'Tron', 'Avalanche', 'Heco', 'REI', 'Kucoin', 'Fantom', 'Kava', 'smartBCH', 'Harmony', 'Arbitrum', 'Optimism', 'IoTeX', 'Cronos', 'EthereumPoW', 'zkSync Era', 'Klaytn', 'Metis']",nervebridge,6.29,"{'Optimism': 0.0, 'Metis': 0.0, 'Kava': 0.0, 'Klaytn': 0.0, 'Harmony': 0.0, 'Nuls': 4.98, 'Binance': 0.28, 'IoTeX': 0.0, 'Ethereum': 0.43, 'Heco': 0.05, 'Avalanche': 0.07, 'Arbitrum': 0.0, 'Tron': 0.08, 'Fantom': 0.0, 'Cronos': 0.0, 'OKExChain': 0.09, 'ENULS': 0.17, 'Kucoin': 0.0, 'smartBCH': 0.0, 'zkSync Era': 0.0, 'EthereumPoW': 0.0, 'Polygon': 0.13, 'REI': 0.01}"
